product_id,title,price,description,image_url
sign-001,For Sale Sign,29.99,High quality weatherproof for sale sign,https://example.com/for-sale.jpg
sign-002,To Let Sign,29.99,Professional to let sign for rental properties,https://example.com/to-let.jpg
sign-003,Sold Sign,29.99,Bold sold sign to mark completed sales,https://example.com/sold.jpg
sign-004,Under Offer Sign,29.99,Under offer sign for pending sales,https://example.com/under-offer.jpg
sign-005,Private Parking Sign,19.99,Durable private parking sign,https://example.com/parking.jpg
sign-006,Open House Sign,24.99,Eye-catching open house sign,https://example.com/open-house.jpg
sign-007,A-Board Sign,39.99,Portable A-board sign for promotions,https://example.com/a-board.jpg
sign-008,Business Card,9.99,Professional business cards (pack of 100),https://example.com/business-card.jpg
sign-009,Menu Board,49.99,Restaurant menu display board,https://example.com/menu-board.jpg
sign-010,Welcome Sign,34.99,Welcoming entrance sign for businesses,https://example.com/welcome.jpg
